employee_id,name,department,city,hire_date,salary,bonus,performance_score,is_manager
1001,张伟,研发,北京,2018-03-15,32000.00,8000.00,92,True
1002,李娜,研发,上海,2019-07-01,28500.00,6000.00,88,False
1003,王强,市场,广州,2020-01-20,21000.00,,85,False
1004,刘洋,销售,深圳,2017-11-05,26000.00,15000.00,95,True
1005,陈静,财务,北京,2021-05-12,19500.00,4000.00,,False
1006,杨帆,研发,杭州,2019-09-23,35000.00,9000.00,90,False
1007,赵敏,人事,上海,2022-02-14,16800.00,3000.00,78,False
1008,周杰,销售,广州,2016-06-30,29000.00,20000.00,97,True
1009,吴磊,研发,深圳,2020-10-08,30000.00,,89,False
1010,徐丽,市场,北京,2018-08-19,22500.00,5500.00,83,False
1011,孙浩,财务,杭州,2023-03-01,15000.00,2000.00,72,False
1012,马晓,研发,上海,2017-04-11,38000.00,12000.00,94,True
1013,朱琳,销售,深圳,2021-12-06,20000.00,10000.00,86,False
1014,胡军,人事,广州,2015-09-15,24000.00,7000.00,91,True
1015,郭婷,市场,上海,2022-07-25,18000.00,3500.00,80,False
1016,何伟,研发,北京,2020-04-17,31000.00,8500.00,87,False
1017,高鹏,销售,杭州,2019-01-09,23000.00,,84,False
1018,林娜,财务,深圳,2023-06-20,16500.00,2500.00,,False
1019,罗宇,研发,广州,2016-12-01,36000.00,11000.00,93,True
1020,梁雪,人事,北京,2021-08-30,17500.00,3200.00,76,False
